epochs,learning_rate,number_nodes_layer,accuracy_mean,accuracy_standard_deviation
10000,0.08,250,0.35281,1.47721
10000,0.08,300,0.184681,1.75523
10000,0.09,200,0.605993,1.89675
10000,0.09,250,0.141658,1.7464
10000,0.09,300,0.319491,1.74431
25000,0.001,200,0.618117,1.80352
25000,0.001,250,0.613567,3.79727
25000,0.001,300,2.06486,6.72409
25000,0.001,500,-2.428,8.37207
25000,0.01,200,0.23804,2.36356
25000,0.01,250,0.299942,2.57757
25000,0.01,300,0.909112,2.45031
25000,0.01,500,0.167544,1.52786
25000,0.02,200,-0.292915,2.50646
25000,0.02,250,0.882702,5.61378
25000,0.02,300,0.364939,1.60191
25000,0.02,500,0.50063,1.2442
25000,0.07,200,0.250107,1.55132
25000,0.07,250,0.872685,1.84472
25000,0.07,300,0.0462158,0.89385
25000,0.08,200,0.325377,0.61503
25000,0.08,250,0.170561,1.27096
25000,0.08,300,0.241744,0.88325
25000,0.09,200,0.465906,0.891018
25000,0.09,250,0.138395,1.13026
25000,0.09,300,0.144472,1.37279
